"rowname","ncit","oncotree"
"C4031","C4031","BLSC"
"C40310","C40310","SEBA"
"C40315","C40315","PMA"
"C40318","C40318","LMS"
"C4032","C4032","BLAD"
"C40329","C40329","VMM"
"C4033","C4033","CCRCC"
"C4035","C4035","THPA"
"C40358","C40358","MASCC"
"C40359","C40359","DCIS"
"C40361","C40361","MASC"
"C4038","C4038","LUCA"
"C4040","C4040","OCSC"
"C40405","C40405","BFN"
"C4041","C4041","OCSC"
"C4043","C4043","HPHSC"
"C40439","C40439","SCCO"
"C4044","C4044","LXSC"
"C4047","C4047","PAST"
"C4049","C4049","APE"
"C4050","C4050","OAST"
"C4051","C4051","ANM"
"C4052","C4052","VSC"
"C4123","C4123","AIS"
"C41233","C41233","PVMF"
"C41237","C41237","PMFPES"
"C41238","C41238","PMFOFS"
"C4131","C4131","FLC"
"C4146","C4146","CHRCC"
"C4170","C4170","SPIR"
"C4189","C4189","JSCB"
"C4194","C4194","IDC"
"C4199","C4199","EMYOCA"
"C4215","C4215","SCT"
"C4244","C4244","IFS"
"C4246","C4246","AFX"
"C4247","C4247","MFH"
"C4250","C4250","WDLS"
"C4258","C4258","PLRMS"
"C42598","C42598","LAMN"
"C4263","C4263","LGESS"
"C4264","C4264","CCSK"
"C4265","C4265","PB"
"C4270","C4270","BTMOV"
"C42700","C42700","UCS"
"C4279","C4279","SYNS"
"C4286","C4286","VIMT"
"C4289","C4289","GCTSTM"
"C4293","C4293","PHM"
"C4303","C4303","MYCHS"
"C43223","C43223","MLADS"
"C4323","C4323","PXA"
"C4324","C4324","ASTB"
"C4326","C4326","AODG"
"C4327","C4327","MDEP"
"C4337","C4337","MCL"
"C4340","C4340","PTCL"
"C4341","C4341","MZL"
"C4342","C4342","IVBCL"
"C4344","C4344","APMF"
"C4345","C4345","MPN"
"C4349","C4349","COAD"
"C43554","C43554","SRAP"
"C43558","C43558","MAAP"
"C43585","C43585","MACR"
"C4381","C4381","OVT"
"C4436","C4436","CHOL"
"C4438","C4438","LIAS"
"C4450","C4450","LCLC"
"C4451","C4451","CCLC"
"C4452","C4452","GCLC"
"C4504","C4504","MPT"
"C4508","C4508","OSMAD"
"C4515","C4515","OCNOS"
"C45194","C45194","PCLBCLLT"
"C4520","C4520","CEAIS"
"C45202","C45202","LGFMS"
"C4526","C4526","ROCY"
"C45327","C45327","HVLL"
"C45339","C45339","PCAECTCL"
"C45340","C45340","PCGDTCL"
"C4536","C4536","PTCA"
"C45366","C45366","PCSMTPLD"
"C4550","C4550","CM"
"C45519","C45519","LECLC"
"C45540","C45540","SARCL"
"C45541","C45541","SPCC"
"C45542","C45542","LUPC"
"C45544","C45544","LUMEC"
"C45551","C45551","ALUCA"
"C4563","C4563","CELNOS"
"C45662","C45662","PLEMESO"
"C45663","C45663","PLSMESO"
"C45665","C45665","PLBMESO"
"C46008","C46008","HNSC"
"C46099","C46099","THME"
"C4639","C4639","ARMM"
"C4646","C4646","UCCA"
"C4648","C4648","OCSC"
"C4656","C4656","MNG"
"C4660","C4660","HPCCNS"
"C4663","C4663","SMZL"
"C4664","C4664","TLGL"
"C4670","C4670","PBS"
"C4673","C4673","ALAL"
"C4683","C4683","DFSP"
"C4684","C4684","ENKL"
"C4699","C4699","GTD"
"C4714","C4714","CCE"
"C4715","C4715","CPC"
"C4717","C4717","AGNG"
"C4722","C4722","CCM"
"C4723","C4723","ATM"
"C4724","C4724","CSCHW"
"C4725","C4725","PCGP"
"C4726","C4726","ACPG"
"C4727","C4727","PTLD"
"C4737","C4737","EATL"
"C4738","C4738","DIG"
"C4746","C4746","BTBEOV"
"C4752","C4752","TPLL"
"C4753","C4753","BPLL"
"C47847","C47847","CCHM"
"C47848","C47848","COM"
"C4812","C4812","ODGC"
"C4817","C4817","ES"
"C4819","C4819","CSCC"
"C4827","C4827","NBL"
"C4830","C4830","UCU"
"C4833","C4833","OCSC"
"C4861","C4861","AMOL"
"C4862","C4862","SCST"
"C4863","C4863","PRAD"
"C4866","C4866","VMM"
"C4871","C4871","CHM"
"C4878","C4878","LUAD"
"C48876","C48876","DDCHDM"
"C49027","C49027","SEF"
"C4908","C4908","OOVC"
"C4910","C4910","COAD"
"C4911","C4911","STAD"
"C4915","C4915","ETANTR"
"C4917","C4917","SCLC"
"C4943","C4943","HPHSC"
"C4944","C4944","SELT"
"C4946","C4946","THHC"
"C4952","C4952","PBT"
"C4956","C4956","DMBL"
"C4972","C4972","NST"
"C50401","C50401","MPC"
"C5105","C5105","COADREAD"
"C5130","C5130","ACBC"
"C5160","C5160","MDLC"
"C5161","C5161","BRCA"
"C5164","C5164","MBC"
"C5175","C5175","BRSRCC"
"C5177","C5177","MSCC"
"C5184","C5184","BA"
"C5196","C5196","BPT"
"C5226","C5226","SBOV"
"C5234","C5234","LMS"
"C5238","C5238","HGONEC"
"C5242","C5242","MOV"
"C5243","C5243","MOV"
"C5248","C5248","MSTAD"
"C5250","C5250","SSRCC"
"C5316","C5316","BLPT"
"C53493","C53493","MCHS"
"C53677","C53677","INTS"
"C53686","C53686","ACPP"
"C53704","C53704","SECOS"
"C53953","C53953","OSOS"
"C53958","C53958","HGSOS"
"C53972","C53972","ECD"
"C5407","C5407","MBEN"
"C54287","C54287","SNSC"
"C54294","C54294","SNUC"
"C54300","C54300","CCOC"
"C5472","C5472","PSTAD"
"C5473","C5473","TSTAD"
"C5474","C5474","STAS"
"C5476","C5476","USTAD"
"C5505","C5505","PCNSM"
"C5536","C5536","PRSC"
"C5543","C5543","COAD"
"C5545","C5545","PRNE"
"C5560","C5560","POCA"
"C5592","C5592","CHGL"
"C5609","C5609","AGA"
"C565","C565","MGUSIGA"
"C5650","C5650","LUAD"
"C5666","C5666","LUACC"
"C5669","C5669","PPB"
"C5670","C5670","LNET"
"C568","C568","MGUSIGG"
"C569","C569","MGUSIGM"
"C5707","C5707","ESMM"
"C5712","C5712","PSC"
"C5721","C5721","PAASC"
"C5722","C5722","UCP"
"C5795","C5795","BGCT"
"C5904","C5904","SDCA"
"C5932","C5932","SGO"
"C5938","C5938","MUCC"
"C5943","C5943","OCSC"
"C6040","C6040","THPD"
"C6041","C6041","SARCNOS"
"C6042","C6042","OAT"
"C6064","C6064","SNSC"
"C60641","C60641","CMC"
"C60781","C60781","ASTR"
"C6142","C6142","UCU"
"C6165","C6165","USCC"
"C6166","C6166","UCU"
"C6167","C6167","UAD"
"C6177","C6177","IMTB"
"C6192","C6192","IUP"
"C6194","C6194","CDRCC"
"C6261","C6261","GRCT"
"C6287","C6287","UEC"
"C6290","C6290","UASC"
"C6336","C6336","UAS"
"C6339","C6339","USARC"
"C6340","C6340","ULMS"
"C6341","C6341","EMBCA"
"C6345","C6345","UUC"
"C6346","C6346","CACC"
"C6347","C6347","MGCT"
"C6379","C6379","VYST"
"C6450","C6450","TET"
"C6474","C6474","LGCOS"
"C6476","C6476","DDCHS"
"C6481","C6481","IMT"
"C6494","C6494","AFH"
"C6496","C6496","MFS"
"C6505","C6505","WDLS"
"C6519","C6519","SCRMS"
"C6534","C6534","SYNS"
"C6577","C6577","MYXO"
"C6582","C6582","OFMT"
"C6586","C6586","ATRT"
"C6650","C6650","AMPCA"
"C6728","C6728","COADREAD"
"C67559","C67559","RGNT"
"C6763","C6763","SCGBC"
"C6764","C6764","STSC"
"C6766","C6766","PRSCC"
"C6770","C6770","EPMT"
"C6801","C6801","DF"
"C6810","C6810","TLYM"
"C6846","C6846","HTAT"
"C6860","C6860","PCALCL"
"C68659","C68659","BLLBCRABL1"
"C6867","C6867","MDSID5Q"
"C6870","C6870","SPC"
"C6875","C6875","LUNE"
"C6876","C6876","RLCLC"
"C6881","C6881","IPN"
"C6899","C6899","BRAME"
"C6900","C6900","ETT"
"C6904","C6904","AMBL"
"C6905","C6905","CLNC"
"C6906","C6906","ATRT"
"C6908","C6908","CHOM"
"C6909","C6909","RHM"
"C6913","C6913","LRCHL"
"C6915","C6915","PEL"
"C6918","C6918","SPTCL"
"C6921","C6921","LCS"
"C6934","C6934","GNC"
"C6936","C6936","AA"
"C6938","C6938","AECA"
"C6959","C6959","AOAST"
"C6966","C6966","PINC"
"C6967","C6967","PPTID"
"C6970","C6970","MSCHW"
"C6974","C6974","MBT"
"C6975","C6975","PRCC"
"C6980","C6980","BPSCC"
"C6981","C6981","WPSCC"
"C6982","C6982","VPSCC"
"C6985","C6985","IHM"
"C7010","C7010","BEC"
"C7013","C7013","BMT"
"C7014","C7014","BIMT"
"C7015","C7015","BMGT"
"C7027","C7027","ESCA"
"C7041","C7041","TAC"
"C7052","C7052","MF"
"C7065","C7065","LNM"
"C7106","C7106","HCC"
"C7137","C7137","CMCD"
"C7152","C7152","AML"
"C7153","C7153","WDTC"
"C7154","C7154","LMS"
"C7155","C7155","CHS"
"C7164","C7164","CHL"
"C7167","C7167","MDSEB1"
"C7168","C7168","MDSEB2"
"C7172","C7172","MNET"
"C7173","C7173","DASTR"
"C7175","C7175","AMLRGA"
"C7183","C7183","PPTLD"
"C7195","C7195","PCLPD"
"C7203","C7203","BPDCN"
"C7210","C7210","TLL"
"C7217","C7217","PCFCL"
"C7224","C7224","PLBL"
"C7225","C7225","ALKLBCL"
"C7233","C7233","MPTLD"
"C7235","C7235","PHPTLD"
"C7236","C7236","IMPTLD"
"C7243","C7243","CHLPTLD"
"C7258","C7258","NLPHL"
"C7266","C7266","BLCLC"
"C7355","C7355","RCC"
"C7356��","C7356��","GBASC"
"C7359","C7359","UCEC"
"C7376","C7376","PLMESO"
"C7401","C7401","HCL-V"
"C7402","C7402","HCL"
"C7463","C7463","AMML"
"C7464","C7464","ALAL"
"C7467","C7467","PERL"
"C7506","C7506","MDSEB"
"C7528","C7528","AITL"
"C7540","C7540","CLLSLL"
"C7541","C7541","RBL"
"C7550","C7550","SOC"
"C7558","C7558","UCEC"
"C7569","C7569","THYC"
"C7572","C7572","MRC"
"C7575","C7575","PT"
"C7581","C7581","MAC"
"C7596","C7596","STMYEC"
"C7600","C7600","AMLMRC"
"C76328","C76328","ILC"
"C7633","C7633","PEMESO"
"C7634","C7634","SFT"
"C7644","C7644","ADMA"
"C7700","C7700","SOC"
"C7712","C7712","UM"
"C7716","C7716","UTUC"
"C7718","C7718","APAD"
"C7729","C7729","PSCC"
"C7733","C7733","TCCA"
"C7736","C7736","VSC"
"C7812","C7812","SPB"
"C7889","C7889","DA"
"C7899","C7899","BLCA"
"C7930","C7930","LYG"
"C7950","C7950","ILC"
"C7953","C7953","TLL"
"C7954","C7954","BL"
"C7955","C7955","HCC"
"C7956","C7956","HCC"
"C7961","C7961","AM"
"C7965","C7965","AMKL"
"C7966","C7966","MACR"
"C7967","C7967","SRCCR"
"C7972","C7972","AMKL"
"C7977","C7977","PAAC"
"C7978","C7978","SOC"
"C7979","C7979","EOV"
"C7981","C7981","VA"
"C7982","C7982","SCCE"
"C7983","C7983","EBOV"
"C8000","C8000","TYST"
"C8021","C8021","SAAD"
"C80281","C80281","EBVDLBCLNOS"
"C80289","C80289","DLBCLCI"
"C80291","C80291","HGBCL"
"C80297","C80297","PTFL"
"C80307","C80307","WM"
"C80308","C80308","SBLU"
"C80309","C80309","SDRPL"
"C80310","C80310","MCBCL"
"C80326","C80326","BLLNOS"
"C80328","C80328","BLLRGA"
"C80331","C80331","BLLBCRABL1"
"C80332","C80332","BLLKMT2A"
"C80335","C80335","BLLHYPER"
"C80338","C80338","BLLHYPO"
"C80340","C80340","BLLIL3IGH"
"C80341","C80341","BLLTCF3PBX1"
"C80342","C80342","BLL"
"C80347","C80347","BLL"
"C80374","C80374","SEBVTLC"
"C80375","C80375","FTCL"
"C8054","C8054","THFO"
"C8107","C8107","OYST"
"C8108","C8108","OEC"
"C8109","C8109","VPE"
"C8111","C8111","OIMT"
"C8112","C8112","OMT"
"C8114","C8114","OMGCT"
"C81758","C81758","FRCT"
"C81767","C81767","IDCT"
"C81772","C81772","JXG"
"C8181","C8181","OPHSC"
"C8183","C8183","OCSC"
"C82192","C82192","MPALBCRABL1"
"C82203","C82203","MPALKMT2A"
"C82212","C82212","MPALBNOS"
"C82213","C82213","MPALTNOS"
"C82217","C82217","NKCLL"
"C82338","C82338","MPRDS"
"C82339","C82339","TAM"
"C82423","C82423","AMLDEKNUP214"
"C82426","C82426","AMLGATA2MECOM"
"C82427","C82427","AMLRBM15MKL1"
"C82431","C82431","AMLNPM1"
"C8252","C8252","TAML"
"C82591","C82591","MDSSLD"
"C82596","C82596","RCYC"
"C8294","C8294","PAAD"
"C8300","C8300","DSRCT"
"C8398","C8398","STAD"
"C8419","C8419","LDD"
"C84269","C84269","MCD"
"C84270","C84270","MLNER"
"C84275","C84275","MLNPDGFRA"
"C84276","C84276","MLNPDGFRB"
"C84277","C84277","MLNFGFR1"
"C8459","C8459","HSTCL"
"C8460","C8460","AMLMD"
"C8562","C8562","OM"
"C8574","C8574","MDSMD"
"C8644","C8644","BLL"
"C8647","C8647","ANKL"
"C8648","C8648","MDSU"
"C8694","C8694","TLL"
"C8715","C8715","MRT"
"C8851","C8851","DLBCLNOS"
"C8863","C8863","NMZL"
"C8936","C8936","BLL"
"C8969","C8969","PAOS"
"C8970","C8970","PEOS"
"C8971","C8971","ERMS"
"C8972","C8972","UUS"
"C8973","C8973","ESS"
"C9003","C9003","ACA"
"C9015","C9015","VMT"
"C9106","C9106","UCA"
"C9110","C9110","CMLBCRABL1"
"C9118","C9118","SARCNOS"
"C9120","C9120","PAAD"
"C9128","C9128","CMLBCRABL1"
"C9131","C9131","IMMC"
"C9133","C9133","LUAS"
"C9137","C9137","CSCLC"
"C9140","C9140","BLL"
"C9145","C9145","OS"
"C9151","C9151","SKLMM"
